,,185,,,,,,184,,,,,,,186,,186,,186,,72,82,61,,183,180,99,0,4,13,9,0,10,0,6,0,9,2,10,36,20,4,33,14,4,24,0,18,12,183,,21,15,5,25,27,6,47,54,24,69,30,152,183,,,,,,,,,,,,
Coordinates,Predicted Name?,Actual Name,Magnetic Storm,High Winds,Irradiated,Toxic Atmosphere,High Gravity,Environmental,Hot Solar Flares,Frigid Zones,Scary Noises,Nasty Gasses,Lewd Rock Formations,Elemental,Plant,(Hostile),Animal,(Hostile),Intelligent,(Hostile),Spants,Murderbots,Ruins,,Space Cave,Cool Space Rocks,Wide Open Spaces,,"Curses, a hex!",Monolith,Terminal,,Time Enough at Last,Mother May I,Please Baby...,,Paradise...,Half the Ship...,Land Ho!,Simple Plant,Complicated Plant,What a Plant!,The Animals...,Buffalo-Like Animal...,House-Sized Animal,Interstellar Trade,Trade Item,Here There Be No Spants,Recovering the Satellite,Total NC Advs,,Hostile Plant,Large Hostile Plant,Exotic Hostile Plant,Small Hostile Animal,Large Hostile Animal,Exotic Hostile Animal,Hostile Intelligent Alien,Spant Drone,Spant Soldier,Murderbot Drone,Murderbot Soldier,Total C Advs,Total Advs,Notes,C1 Predicted,C1 Actual,CSum,C1,C2,C3,C4,C5,C6,C7,Weighted Sum (WSum)
MELONIA,N,Gamma King II,Y,Y,,,,2,,,,Y,,1,none,,none,,none,,,Y,Y,,4,5,5,,,,,,,,1,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,0,20,"((383pg)geo kit. 61 rocks, 2 gems(imgur/y6LbH3o))",3,3,62,12,4,11,14,13,8,0,222
NIOBIUM,N,Fredfordus Shafer XI,,,Y,,Y,2,Y,,,,,1,advanced,Y,primitive,Y,none,,,,,,6,3,4,,,,,,,,,,,,,,,,,,,,,,,13,,,5,,2,,,,,,,,7,20,"1 gem, 316 pages",3,3,76,13,8,14,1,8,20,12,319
NPKQKBK,N,Zeta Dyxichix III,,Y,Y,,,2,,,Y,,,1,none,,none,,detected,Y,,,,,4,5,4,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,7,,,,,7,20,1 gemstone,3,3,75,13,15,10,16,10,1,10,263
OIOIOII,N,Chi Thomas II,Y,,,,Y,2,,Y,,,,1,primitive,,primitive,,detected,Y,,,,,2,4,,,,,,,,,,,,,,3,,,4,,,,,,,13,,,,,,,,7,,,,,7,20,1 gemstone,3,3,74,14,8,14,8,14,8,8,278
MIOZNKA,N,Psi Wallace III,,Y,,Y,,2,,,Y,,,1,primitive,Y,primitive,,detected,Y,Y,,Y,,2,2,,,,,,,,,,,1,,,,,,1,,,,,4,,10,,4,,,,,,6,,,,,10,20,1 gemstone,3,3,82,12,8,14,25,13,10,0,295
LOATHIN,N,Diggusduggus Smith V,Y,,,,Y,2,,,,,Y,1,none,,none,,detected,Y,,Y,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,5,,,7,,12,20,1 gemstone,3,3,72,11,14,0,19,7,8,13,289
OOIIIOI,N,Chi Thomas II,Y,,,,Y,2,,Y,,,,1,advanced,Y,primitive,Y,detected,Y,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,6,,,4,,,,,14,20,1 gemstone,3,3,74,14,14,8,8,8,14,8,278
LAAAAAA,N,Omega O'Kelly VIII,Y,,,Y,,2,,,Y,,,1,primitive,Y,anomalous,Y,none,,Y,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,,,3,,3,4,,,12,20,1 gemstone,3,3,11,11,0,0,0,0,0,0,11
LABELLE,N,Iota Buck II,Y,,Y,,,2,Y,,,,,1,primitive,Y,advanced,Y,none,,,Y,,,4,5,,,,,,,,,,,,,,,,,,,,,,,5,14,,2,,,,4,,,,,,,6,20,1 Gemstone,3,3,42,11,0,1,4,11,11,4,179
LIBERTY,N,Pi Doritus III,,,Y,Y,,2,,Y,,,,1,advanced,Y,advanced,Y,none,Y,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,3,,,4,3,,,14,20,1 gemstone,3,3,84,11,8,1,4,17,19,24,413
LWQLYXV,N,Pi Fustulus I,,Y,Y,,,2,,,,Y,,1,none,,none,,none,,,Y,,,6,5,5,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,4,,4,20,1 gemstone,3,3,128,11,22,16,11,24,23,21,552
MCSUTNP,N,Trixrabbitus Young IX,,Y,,,Y,2,Y,,,,,1,none,,none,,none,,Y,,Y,,6,5,3,,,1,,,,,,,,,,,,,,,,,,5,,20,,,,,,,,,,,,,0,20,1 gemstone,3,3,99,12,2,18,20,19,13,15,428
MMMMMMO,N,Equipajus Johnson I,,Y,,,Y,2,,,,Y,,1,advanced,,none,,none,,,,Y,,4,4,7,,1,,,,,,,,,,,,4,,,,,,,,,20,,,,,,,,,,,,,0,20,1 gemstone,3,3,86,12,12,12,12,12,12,14,350
MRDARCY,N,Saladus Harris X,,,Y,,Y,2,,,,Y,,1,none,,none,,none,,Y,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,3,5,,,8,20,1 gemstone,3,3,75,12,17,3,0,17,2,24,320
MRSPOCK,N,Doritus Hathaway XI,,,Y,,Y,2,,,Y,,,1,primitive,Y,none,,none,,,,Y,,3,4,6,,,,,,,,1,,,,,,,,,,,,,,,14,,6,,,,,,,,,,,6,20,1 gemstone,3,3,88,12,17,18,15,14,2,10,312
NEBULAE,N,Zeta Westinghouse IV,,,Y,,Y,2,,,,,Y,1,primitive,,primitive,,none,,Y,,,,3,4,,,,,,,,,,,,,,4,,,2,,,,,,,13,,,,,,,,,7,,,,7,20,1 gemstone,3,3,53,13,4,1,20,11,0,4,187
NEMESIS,N,Omicron Equipajus IX,,,,Y,Y,2,,,Y,,,1,anomalous,Y,none,,none,,,Y,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,8,,,,4,,,,,,,8,,12,20,1 gemstone,3,3,77,13,4,12,4,18,8,18,337
NIGHTLY,N,Microscopius Shatner II,,Y,Y,,,2,,,Y,,,1,primitive,,primitive,,none,,Y,,Y,,2,1,,,,,1,,,,,,,,,8,,,2,,,,,,,14,,,,,,,,,3,3,,,6,20,1 gemstone,3,3,88,13,8,6,7,19,11,24,404
NINNIES,N,Omega Nipperus VIII,,,Y,Y,,2,Y,,,,,1,primitive,,primitive,,none,,,Y,Y,,2,2,,,,,,,,,,,1,,,3,,,5,,,,,,,13,,,,,,,,,,,5,2,7,20,1 gemstone,3,3,77,13,8,13,13,8,4,18,310
OHFFSYK,N,Upsilon Haskell III,,Y,,Y,,2,,,Y,,,1,advanced,,none,,none,,,Y,Y,,3,3,1,,,,,,,,,,,,1,,5,,,,,,,,,13,,,,,,,,,,,7,,7,20,1 gemstone,3,3,83,14,7,5,5,18,24,10,367
OIIIOIO,N,Psi Stipe IV,Y,,,,Y,2,Y,,,,,1,primitive,Y,primitive,,none,,Y,Y,,,4,3,,,,,,,,,,,,,,,,,3,,,,,,,10,,3,,,,,,,4,,1,2,10,20,1 gemstone,3,3,74,14,8,8,8,14,8,14,302
LULLABY,N,Chi Hathaway XI,Y,,,Y,,2,,,Y,,,1,advanced,,primitive,,detected,Y,,,Y,,4,4,,,,1,,,,,,,,,,,3,,2,,,,,,,14,,,,,,,,6,,,,,6,20,105 pages,3,3,78,11,20,11,11,0,1,24,302
OLDONES,N,Gamma Dickbutkus V,,,Y,Y,,2,,Y,,,,1,none,,advanced,,detected,Y,Y,Y,Y,,1,3,,,,,,,,,,,,,1,,,,,4,,,,2,3,14,,,,,,,,6,,,,,6,20,117 pages,3,3,77,14,11,3,14,13,4,18,316
MOONIES,N,Mexicanus Jones IV,Y,,,Y,,2,,,,,Y,1,primitive,,primitive,,none,,,Y,Y,,2,4,,,,,,,1,,,,,,,4,,,2,,,,,,,13,,,,,,,,,,,7,,7,20,2 gemstones,3,3,83,12,14,14,13,8,4,18,324
MYTOWEL,N,Misogynus Nicholson VIII,Y,,Y,,,2,,,,Y,,1,primitive,,advanced,Y,none,,,,,,6,5,4,,,,,,,,,,,,,2,,,,,,,,,,17,,,,,,3,,,,,,,3,20,2 gemstones,3,3,106,12,24,19,14,22,4,11,384
OOOIIII,N,Psi Mexicanus VIII,Y,,,,Y,2,,,Y,,,1,primitive,Y,none,,detected,,,,Y,,5,4,5,,1,,,,,,,,,,,,,,,,,1,salad 28.4K,,,16,,4,,,,,,,,,,,4,20,2 gemstones,3,3,74,14,14,14,8,8,8,8,260
LMNOPQR,N,Iota Abbrevianus VIII,Y,,,Y,,2,,,Y,,,1,primitive,Y,advanced,Y,none,,,,,,5,4,3,,,,,,,,,,,,,,,,,,,,,,,12,,4,,,,4,,,,,,,8,20,"2 gemstones, 363 pages of Spacegate Research",3,3,98,11,12,13,14,15,16,17,420
MANGOES,N,Polepositioni McDonald X,Y,,,Y,,2,,,Y,,,1,advanced,,primitive,Y,detected,Y,,,Y,,4,3,,,,,,,,,,,,,1,,1,,,,,,,,,9,,,,,2,,,9,,,,,11,20,"2 gemstones, also 10% Space Pirate Language.",3,3,67,12,0,13,6,14,4,18,295
MICHAEL,N,Zeta Wilson XI,Y,Y,,,,2,,,,Y,,1,none,,primitive,,none,,Y,,,,3,3,5,,,,,,,,,,,,,,,,2,,,,,,,13,,,,,,,,,5,2,,,7,20,2 gemstones...not worth a return trip (psst: gemstones are RNG),3,3,44,12,8,2,7,0,4,11,163
MADRONA,N,Delta Scabrus IV,,,,Y,Y,2,Y,,,,,1,advanced,,primitive,,detected,Y,,Y,Y,,1,3,,,,,,,1,,,,,,,,1,,1,,,,,,,7,,,,,,,,7,,,3,3,13,20,228 pages,3,3,59,12,0,3,17,14,13,0,237
MAESTRO,N,Gamma Molotov V,Y,,,Y,,2,,,,Y,,1,none,,advanced,Y,none,,,Y,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,3,,,,,9,,12,20,248 pages. Lots of Murderbot Drones if you are into them.,3,3,84,12,0,4,18,19,17,14,391
MISFITS,N,Omicron Haskell III,,,Y,,Y,2,,,,Y,,1,none,,none,,none, ,,Y,Y,,3,4,3,,,,,,,,,,1,,,,,,,,,,,,,11,,,,,,,, ,3,,6,,9,20,292 pages or research.  Boring world,3,3,88,12,8,18,5,8,19,18,382
MMORPGS,N,Lambda Woodward V,,,Y,,Y,2,,,,,Y,1,none,,none,,detected,Y,,Y,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,,,5,,11,20,292 pages or research.  Boring world,3,3,94,12,12,14,17,15,6,18,383
NICEASS,N,Iota Phlebitis XI,Y,,Y,,,2,,,,,Y,1,none,,primitive,,none,,,,,,4,5,6,,,,,,,,,,,,,,,,5,,,,,,,20,,,,,,,,,,,,,0,20,"3 gemstones, 548 pages of Spacegate Research",3,3,63,13,8,2,4,0,18,18,285
